time,phoneme,F1,F2,F3,,
0.82800102,/a/,1044.377006,1502.314479,1692.994429,,
1.004233418,/o/,528.2856658,1559.366605,1789.723647,,/a/
1.137306861,/i/,362.311689,601.2108585,2607.174128,,/o/
1.372882821,/ɒ/,536.4963928,924.1666179,1329.382964,,/i/
2.247470574,/a/,868.8083042,1240.215966,1627.589752,,/ɒ/
2.429927962,/o/,547.1450258,1329.020897,1691.503824,,/ɤ/
2.563001406,/i/,483.2881678,2446.600658,2725.856012,,/w/
2.794381357,/ɒ/,570.4026265,965.5889663,1376.05189,,/æ/
3.566664572,/a/,1036.440418,1502.093092,1639.190229,,/e/
3.763277587,/o/,530.6992265,1021.425139,1705.545753,,/ɶ/
3.90114647,/i/,243.5651487,410.3448963,2551.067042,,/u/
4.136123001,/ɒ/,466.2114148,752.5334548,1198.127126,,/ø/
0.909734413,/a/,702.493264,1219.668925,1606.493846,,/θ/
1.166783172,/ɤ/,713.8757974,946.8921527,1667.415737,,/ʌ/
1.434012081,/w/,314.0099596,585.6970337,2811.837652,,/ɞ/
2.456576477,/a/,598.7454698,1257.577925,1607.425523,,/ɐ/
2.72889546,/ɤ/,765.3617226,896.9079459,1859.85939,,/ɔ/
3.00375948,/w/,492.0673097,517.5754918,1589.132248,,/ɯ/
3.996323998,/a/,887.2034456,1290.945352,1500.368084,,/ʊ/
4.27882313,/ɤ/,831.793606,920.3756687,1884.518702,,/ɑ/
4.548597075,/w/,479.8061638,922.01389,1613.685871,,/ɪ/
0.594888573,/a/,700.2813299,1249.575185,1515.30565,,/ə/
0.960486672,/æ/,600.3504228,1050.605879,1585.613045,,/ↄ /
1.153137354,/e/,378.8479911,670.7645824,2177.047413,,
1.261561328,/ɶ/,519.0411464,721.8007894,2591.517376,,
2.182981792,/a/,997.5303227,1499.355816,1893.64711,,
2.482097325,/æ/,553.5557839,1019.127658,1745.679314,,
2.704751525,/e/,600.3611302,1662.455703,1874.888014,,
2.806146621,/ɶ/,477.1172297,908.9453102,2348.873879,,
3.726329522,/a/,683.2044187,1216.725488,1609.344292,,
4.016572983,/æ/,720.8294296,942.0357653,1735.977087,,
4.237107317,/e/,619.9957893,1336.027914,1943.403977,,
4.339769851,/ɶ/,466.3883479,617.9297098,1108.162057,,
1.945423016,/u/,416.5035014,1643.321886,3037.998177,,
2.044119713,/u/,464.3603507,572.5967848,1531.205557,,
2.304960985,/a/,612.3750717,869.2554738,1606.108766,,
2.427156896,/e/,517.9339056,673.7048207,2368.561649,,
3.277828432,/u/,433.6399314,1560.124672,2946.067831,,
3.367125444,/u/,484.8086419,1257.811263,2797.28719,,
3.625616795,/a/,816.5929172,1086.905564,1682.063515,,
3.7031642,/e/,659.8627479,965.3602227,2356.957232,,
1.43835495,/a/,471.9528981,1144.78386,1581.849173,,
1.880894887,/a/,347.1650914,718.1092704,977.9751889,,
2.087413524,/ɒ/,719.9635397,1275.508989,1659.095861,,
3.07280245,/a/,1069.848617,1337.996133,1561.487437,,
3.444535997,/a/,354.0339403,754.6138543,1013.560402,,
3.627452504,/ɒ/,355.173449,1154.054569,1524.51802,,
4.56563717,/a/,842.9912051,1450.213222,2029.175476,,
4.949171781,/a/,370.5382608,800.2709334,1029.178159,,
5.167491484,/ɒ/,567.6396484,1133.887771,1498.751283,,
0.592101192,/ɶ/,314.9419807,484.9382686,2610.990734,,
0.843490926,/i/,347.4021843,1039.083962,2656.804579,,
1.146220818,/w/,523.9231332,1994.455998,2042.75761,,
1.174546422,/i/,495.4825671,2292.841904,2574.284233,,
1.468081193,/u/,480.3594645,1059.425013,2617.04573,,
1.545091428,/a/,737.843401,1193.674395,1811.056485,,
1.950023776,/ø/,501.9556251,2500.927012,2798.091991,,
