time,phoneme,F1,F2,F3,,
2.009641735,/a/,616.1188931,1420.746444,2384.510849,,
2.185403673,/o/,352.9101526,2056.167098,2649.793714,,/a/
2.30122836,/i/,291.5054223,2045.274679,2864.455991,,/o/
2.478962792,/ɒ/,506.8611919,1273.371128,2404.581612,,/i/
4.884234312,/a/,596.3367432,1410.423972,2330.585508,,/ɒ/
5.061007505,/o/,386.241854,2129.157908,2732.28856,,/ɐ/
5.163442623,/i/,259.8137847,2369.912147,2527.620166,,/u/
5.647058287,/ɒ/,411.9305275,934.0840023,2289.939065,,/ʌ/
8.264889932,/a/,620.340692,1245.80234,2240.457099,,/ɶ/
8.433493543,/o/,385.3674295,2050.569438,2641.405618,,/æ/
8.537268336,/i/,285.0064934,1954.811718,2830.892602,,/e/
8.908677462,/ɒ/,406.8245482,959.8175859,2337.825286,,/ɯ/
0.888674788,/ɐ/,714.4253464,1321.733501,2250.756225,,/ø/
1.373888224,/i/,202.7940702,1585.685442,2742.156831,,/θ/
1.832441582,/u/,341.3266143,2159.196199,2621.89002,,/ɞ/
2.132811804,/a/,618.3655276,1490.235697,2369.116379,,/ɤ/
2.559373067,/ʌ/,500.7113112,1732.593006,2574.138414,,/ɔ/
2.725609514,/u/,1865.943433,2574.708267,3494.196153,,/ʊ/
2.933164986,/ɶ/,299.6274233,1428.67204,2356.984971,,/ɑ/
4.299071436,/ɐ/,680.0246075,1266.276894,2255.428829,,/ɪ/
4.727635983,/i/,283.7379772,2400.004014,3007.091179,,/ə/
5.177845203,/u/,410.449724,2227.430081,2439.826019,,
5.472212771,/a/,611.77872,1516.547679,2311.006512,,
5.909435187,/ʌ/,393.4999049,980.0046675,2480.709861,,
6.047961101,/u/,1850.947643,2819.833347,3316.387692,,
6.238434233,/ɶ/,478.1273019,1439.813359,2354.843289,,
7.727587808,/ɐ/,654.3942633,1264.118387,2246.886993,,
8.112863006,/i/,331.5321555,2414.494993,3039.276047,,
8.658308793,/u/,434.6566598,2393.218139,2728.805656,,
8.896400208,/a/,698.2105441,1520.931374,2414.956962,,
9.29466221,/ʌ/,529.7482764,1003.236366,2483.469655,,
9.463490668,/u/,1873.476345,2835.929369,3101.279325,,
9.632319126,/ɶ/,476.5181632,1434.767782,2327.134377,,
1.461408138,/a/,696.0795226,1248.63373,2275.998497,,
1.724055069,/æ/,622.7941485,1459.207882,2360.333071,,
1.875551582,/e/,517.18448,1661.333206,2345.277703,,
2.094680468,/ɶ/,221.9507377,1472.233303,2465.392257,,
3.662994665,/a/,485.1238759,1080.794913,1936.093005,,
4.025504179,/æ/,648.7226954,1493.803341,2385.397283,,
4.163474218,/e/,489.5454069,1548.795161,2316.179764,,
4.301444257,/ɶ/,352.0811687,1777.805087,2598.259633,,
5.919158762,/a/,644.2654532,1219.816125,2078.713956,,
6.308721226,/æ/,626.3584173,1494.56398,2356.062857,,
6.452101855,/e/,351.6258114,1415.485494,1607.837083,,
6.568429535,/ɶ/,311.7543985,1606.901575,2456.855278,,
1.230092193,/u/,623.1304659,1406.197184,2522.492522,,
1.375407507,/u/,407.9694129,1285.747458,2451.059777,,
1.651373287,/a/,479.5676059,1791.270326,2144.972139,,
1.74336188,/e/,403.890524,772.9802311,2062.373876,,
3.419092632,/u/,687.3420803,1553.278217,2542.568005,,
3.605110787,/u/,400.3307006,1268.165467,2502.854653,,
3.791128942,/a/,428.2434627,1231.196747,2283.635654,,
3.88431917,/e/,447.0229602,1845.77908,2611.040966,,
5.502358846,/u/,659.2614401,1587.182754,2700.645324,,
5.782494766,/u/,241.0424509,1219.30637,2434.842914,,
5.911356089,/a/,462.1574711,1878.238993,2669.972408,,
6.011263812,/e/,306.8351251,1515.931092,2356.662152,,
0.980553692,/a/,653.986672,1231.71584,2167.354922,,
1.255633618,/o/,380.5570041,803.6960804,2276.288543,,
1.369198725,/o/,446.0438418,996.4195263,2388.690105,,
3.157278294,/a/,546.4215028,1217.405655,2180.97909,,
3.505231041,/o/,388.4316657,768.1591704,2326.72527,,
3.628662911,/o/,442.740985,955.5514626,2350.307297,,
5.455148165,/a/,436.6063583,1177.245691,2182.318139,,
5.839628131,/o/,410.7271422,802.7211198,2276.44592,,
5.966021903,/o/,443.3547545,984.0811633,2303.624814,,
1.165933529,/ɶ/,287.1617839,1815.853318,2482.206263,,
1.457556093,/i/,237.9387622,2363.759002,2972.694138,,
1.726746152,/ɯ/,368.4094433,1137.182213,2429.004682,,
1.840778052,/i/,306.7003414,2159.889501,2664.618482,,
2.0576256,/u/,438.8808992,1369.32393,2542.413254,,
2.278211898,/a/,636.198748,1555.65549,2296.621723,,
2.728731372,/ø/,273.3915154,2021.802574,3001.825231,,
2.83528577,/ø/,387.4613368,1747.330134,2352.125159,,
2.917538288,/a/,606.3934269,1225.43755,2163.627678,,
