time,phoneme,F1,F2,F3
0.82800102,/a/,1044.377006,1502.314479,1692.994429
1.004233418,/o/,528.2856658,1559.366605,1789.723647
1.137306861,/i/,362.311689,601.2108585,2607.174128
1.372882821,/ɒ/,536.4963928,924.1666179,1329.382964
2.247470574,/a/,868.8083042,1240.215966,1627.589752
2.429927962,/o/,547.1450258,1329.020897,1691.503824
2.563001406,/i/,483.2881678,2446.600658,2725.856012
2.794381357,/ɒ/,570.4026265,965.5889663,1376.05189
3.566664572,/a/,1036.440418,1502.093092,1639.190229
3.763277587,/o/,530.6992265,1021.425139,1705.545753
3.90114647,/i/,243.5651487,410.3448963,2551.067042
4.136123001,/ɒ/,466.2114148,752.5334548,1198.127126
0.909734413,/a/,702.493264,1219.668925,1606.493846
1.166783172,/ɤ/,713.8757974,946.8921527,1667.415737
1.434012081,/w/,314.0099596,585.6970337,2811.837652
2.456576477,/a/,598.7454698,1257.577925,1607.425523
2.72889546,/ɤ/,765.3617226,896.9079459,1859.85939
3.00375948,/w/,492.0673097,517.5754918,1589.132248
3.996323998,/a/,887.2034456,1290.945352,1500.368084
4.27882313,/ɤ/,831.793606,920.3756687,1884.518702
4.548597075,/w/,479.8061638,922.01389,1613.685871
0.594888573,/a/,700.2813299,1249.575185,1515.30565
0.960486672,/æ/,600.3504228,1050.605879,1585.613045
1.153137354,/e/,378.8479911,670.7645824,2177.047413
1.261561328,/ɶ/,519.0411464,721.8007894,2591.517376
2.182981792,/a/,997.5303227,1499.355816,1893.64711
2.482097325,/æ/,553.5557839,1019.127658,1745.679314
2.704751525,/e/,600.3611302,1662.455703,1874.888014
2.806146621,/ɶ/,477.1172297,908.9453102,2348.873879
3.726329522,/a/,683.2044187,1216.725488,1609.344292
4.016572983,/æ/,720.8294296,942.0357653,1735.977087
4.237107317,/e/,619.9957893,1336.027914,1943.403977
4.339769851,/ɶ/,466.3883479,617.9297098,1108.162057
1.945423016,/u/,416.5035014,1643.321886,3037.998177
2.044119713,/u/,464.3603507,572.5967848,1531.205557
2.304960985,/a/,612.3750717,869.2554738,1606.108766
2.427156896,/e/,517.9339056,673.7048207,2368.561649
3.277828432,/u/,433.6399314,1560.124672,2946.067831
3.367125444,/u/,484.8086419,1257.811263,2797.28719
3.625616795,/a/,816.5929172,1086.905564,1682.063515
3.7031642,/e/,659.8627479,965.3602227,2356.957232
1.43835495,/a/,471.9528981,1144.78386,1581.849173
1.880894887,/a/,347.1650914,718.1092704,977.9751889
2.087413524,/ɒ/,719.9635397,1275.508989,1659.095861
3.07280245,/a/,1069.848617,1337.996133,1561.487437
3.444535997,/a/,354.0339403,754.6138543,1013.560402
3.627452504,/ɒ/,355.173449,1154.054569,1524.51802
4.56563717,/a/,842.9912051,1450.213222,2029.175476
4.949171781,/a/,370.5382608,800.2709334,1029.178159
5.167491484,/ɒ/,567.6396484,1133.887771,1498.751283
0.592101192,/ɶ/,314.9419807,484.9382686,2610.990734
0.843490926,/i/,347.4021843,1039.083962,2656.804579
1.146220818,/w/,523.9231332,1994.455998,2042.75761
1.174546422,/i/,495.4825671,2292.841904,2574.284233
1.468081193,/u/,480.3594645,1059.425013,2617.04573
1.545091428,/a/,737.843401,1193.674395,1811.056485
1.950023776,/ø/,501.9556251,2500.927012,2798.091991
2.171317556,/ø/,513.2092628,2419.197683,2611.639934
2.319141802,/a/,811.7461126,1318.556035,1626.285758
3.408963389,/ɶ/,534.9567897,651.8275018,2105.317655
3.646190322,/i/,345.1981172,664.0234143,3069.090038
3.842699199,/w/,364.1168835,766.9827492,2051.136887
3.911742858,/i/,380.880359,2705.195934,2823.169483
4.148969791,/u/,457.2111327,704.0110012,1934.462174
4.262272207,/a/,809.1387043,1079.586109,1790.155062
4.767722851,/ø/,471.4460439,1590.155333,2558.36498
4.955379976,/ø/,502.445976,692.6970477,2435.002936
5.111170798,/a/,757.0872118,996.7149456,1590.402039
5.9655841,/ɶ/,631.4599439,2154.013354,2582.10621
6.238218038,/i/,310.145946,702.6061822,3253.939075
6.415253063,/w/,433.6435484,2410.230715,2510.264565
6.484296722,/i/,187.3640831,2587.112719,2748.697005
6.659561396,/u/,433.2205146,674.6634351,2024.368026
6.774634162,/a/,703.491345,852.9209903,1985.589793
7.190086785,/ø/,371.6387821,514.5093571,2428.354425
7.363581109,/ø/,518.2776856,712.9859469,2425.403612
7.535305083,/a/,666.5488204,1159.837796,1730.278877
0.865840304,/ɶ/,629.7468747,1561.743532,1745.676584
1.166845564,/θ/,345.1006733,698.4025231,922.4800577
1.394019346,/a/,642.4524756,1224.235155,1508.906803
1.621193128,/i/,382.1929022,834.9685255,3432.336056
2.501491532,/ɶ/,550.0256651,1558.216492,2589.581484
2.96151844,/θ/,446.0804209,753.6263457,1022.310669
3.188692222,/a/,547.3123659,916.2446929,2222.583568
3.410186659,/i/,338.3642003,892.609662,2747.175994
4.256408996,/ɶ/,484.310204,1072.121905,1682.551629
4.688039182,/θ/,407.5468905,777.1327725,973.9535344
4.926571652,/a/,715.8280853,1087.48316,1724.827432
5.170783468,/i/,291.3647469,854.4339354,3330.585301
0.73330122,/θ/,475.0738885,657.092076,996.9116778
0.881706473,/a/,475.901756,807.6970306,1284.326996
1.343411706,/ʌ/,504.8785704,904.1877445,1329.334793
1.493878143,/ɶ/,496.9965653,1016.71746,2735.449747
2.545061978,/θ/,545.0201919,921.280922,3505.699736
2.699650783,/a/,555.810493,1037.912535,3560.368081
3.113948782,/ʌ/,1116.189336,1804.719875,3080.291929
3.382583092,/ɶ/,701.1533629,1207.391819,1806.198217
4.17747968,/θ/,419.1767728,676.8645859,1015.707846
4.367108615,/a/,995.6223158,1500.396344,3433.291346
4.775223061,/ʌ/,577.7059625,1576.841141,2394.34254
5.016381597,/ɶ/,458.1678953,761.4368189,1761.069789
1.153726531,/ɶ/,587.309636,981.3493585,2561.180396
1.288852259,/θ/,595.0299881,970.8180073,2922.202013
1.465343841,/a/,937.4236852,944.5664564,1894.96633
1.713942292,/a/,1149.928809,2154.436672,2722.31775
1.79501773,/ɞ/,785.2538287,1302.29265,2209.178231
2.723576603,/ɶ/,661.4163852,1808.420565,3484.905195
3.214082999,/θ/,502.3147043,671.5040152,1413.740901
3.389746447,/a/,408.0397416,1024.497758,1795.252852
3.720362026,/a/,694.2173909,1795.520138,2294.730447
3.800086206,/ɞ/,343.8816193,2923.831769,3445.864002
4.6904332,/ɶ/,520.5849439,1038.09741,1766.181769
5.203910969,/θ/,578.4082778,1052.157032,3449.386706
5.372596902,/a/,991.8612491,1848.21352,3230.331477
5.740826458,/a/,663.6656292,1456.812912,2408.048238
5.855683327,/ɞ/,371.0143249,2946.162603,3312.170523
0.585486079,/ɶ/,271.5213221,766.7373421,2521.983817
0.769606719,/i/,427.1830257,672.6372217,3122.694044
0.985661561,/u/,658.2706915,963.7642414,2764.592465
1.194730797,/a/,776.6009167,1155.510436,1580.070775
1.41876919,/a/,1058.423342,1275.313215,1643.514692
2.404328799,/ɶ/,543.8154502,1214.098705,2033.189724
2.697239231,/i/,436.3467278,3139.715035,3547.406217
2.902433746,/u/,543.5148322,922.9263905,2784.832403
3.093115626,/a/,602.1326903,1199.09298,1569.853874
3.376249327,/a/,664.9487435,1198.375969,1612.205466
4.145314974,/ɶ/,573.0156905,2063.22112,3071.408142
4.507554816,/i/,355.532222,545.1738411,3186.663988
4.631235941,/u/,299.1429745,935.281081,2854.038166
4.871445582,/a/,633.4229619,1292.368186,1629.735306
5.079462179,/a/,668.7118173,1303.295136,1723.99636
0.586307603,/ʌ/,549.3414916,882.2709123,2490.815982
0.762627245,/u/,2241.490684,2604.986644,3370.336286
0.909218576,/ɶ/,374.3289795,855.8729691,2612.240882
1.951678264,/ɐ/,759.1729823,1334.21906,1940.452999
2.217182842,/i/,665.2549827,3062.699395,3567.538644
2.39247737,/u/,583.3179197,953.06841,1252.630674
2.657981949,/a/,632.4275447,1215.270376,1720.912034
3.136710281,/ʌ/,619.7956564,793.1080092,1464.476477
3.375561889,/u/,399.7487169,2229.547876,2556.284284
3.534454591,/ɶ/,489.1135895,884.9213443,2935.060703
4.531537222,/ɐ/,709.1855734,1503.593474,1999.91608
4.786790658,/i/,646.9181028,3114.597715,3683.525707
4.982587471,/u/,417.3932865,716.264759,1265.902953
5.263468762,/a/,636.9287589,1351.554224,1715.029922
5.70221764,/ʌ/,637.8250466,1245.606059,1450.284399
5.962096904,/u/,959.5667521,1856.644555,2859.242994
6.122514463,/ɶ/,484.8789775,1073.6196,1502.783105
0.984947433,/i/,462.1528035,2691.932867,2962.683183
1.181555369,/ɶ/,546.6880713,1156.574231,2113.43157
1.311641822,/i/,398.3827839,527.5625006,2744.118123
1.465503546,/ɶ/,424.844339,1190.294529,1402.545596
1.512807711,/i/,448.8184523,543.9616771,1764.804527
1.693036008,/ɶ/,420.5567028,778.0596866,1425.424447
1.84168568,/a/,827.7257551,1203.514698,1742.012753
2.119355629,/ɤ/,282.4870959,770.6936412,1583.195652
