time,phoneme,F1,F2,F3,,
1.590923878,/a/,923.3603203,1439.634516,1686.118655,,
1.766050398,/o/,489.7115199,758.7149294,2576.031301,,/a/
1.805209603,/i/,371.871329,2613.340071,3104.158381,,/o/
1.953951425,/ɒ/,728.1967366,1339.114266,1700.123415,,/i/
3.035617243,/a/,683.9920406,1356.22977,2305.055088,,/ɒ/
3.258446204,/o/,466.369351,1242.071979,2644.52933,,/ɤ/
3.308026811,/i/,368.6589344,2617.739123,3174.621533,,/ɯ/
3.446408808,/ɒ/,715.2086974,1464.468309,2999.975948,,/æ/
4.566664462,/a/,901.5565058,1768.750471,2849.356326,,/e/
4.717522833,/o/,517.7067875,1954.030215,2601.236303,,/ɶ/
4.789209443,/i/,476.2108883,750.9207934,2668.653409,,/u/
4.935073335,/ɒ/,686.4314498,1490.74304,3066.672898,,/ɑ/
1.015064987,/a/,815.0513653,1139.854871,1529.722771,,/ø/
1.216560953,/ɤ/,490.8362219,1251.817656,2355.456144,,/θ/
1.533823661,/ɯ/,585.384826,928.4724043,1426.745575,,/ʌ/
2.508949893,/a/,270.9404491,973.3025688,1619.757885,,/ɞ/
2.737380995,/ɤ/,833.4208759,1298.07916,1845.247215,,/ɐ/
3.076160522,/ɯ/,619.4322917,1436.003417,2869.288101,,/ɔ/
4.108698728,/a/,948.4095919,1401.003537,1953.175143,,/ʊ/
4.348128365,/ɤ/,812.3114322,1839.6248,2966.525493,,/w/
4.666718167,/ɯ/,589.8500969,1443.596213,2837.616884,,
2.721062679,/a/,900.1276813,989.213022,1692.486147,,
2.971234314,/æ/,875.0954684,1369.562687,1987.010854,,
3.188131888,/e/,655.010493,1601.243321,1900.75683,,
3.278015518,/ɶ/,450.6613842,1395.778192,2242.526499,,
4.210788685,/a/,936.7616117,1419.826891,1818.54435,,
4.501012428,/æ/,945.8412488,1226.934499,1756.824161,,
4.791940342,/e/,667.2162456,1300.720341,2361.961732,,
4.893621557,/ɶ/,453.6005214,1559.060594,2290.97337,,
5.748974919,/a/,939.8998432,1429.556353,1664.930603,,
5.99464395,/æ/,931.7374867,1261.913093,1883.366413,,
6.182208688,/e/,677.6753638,1787.982776,3061.763384,,
6.254584211,/ɶ/,386.7276008,1151.530415,2383.825594,,
0.769743253,/u/,389.6299073,1862.84212,3001.385282,,
0.864542177,/u/,534.2295771,736.2043893,1328.598368,,
1.098607561,/a/,804.0075284,1103.967781,1809.972672,,
1.148450294,/e/,747.4869025,2100.684011,2408.500826,,
2.325524871,/u/,569.0485981,1319.255912,3000.85079,,
2.568874685,/a/,828.4909651,1477.481807,1962.822408,,
2.658787066,/e/,605.2902874,1395.765714,2406.005265,,
3.571145113,/u/,575.9378175,1502.111002,2865.911886,,
3.70210445,/u/,560.6042473,1590.667236,2978.806725,,
3.942033685,/a/,811.4042867,1390.270093,2403.712895,,
4.021195673,/e/,631.8565643,2327.6004,2920.559405,,
0.900333974,/a/,832.3784411,1258.327054,1578.886023,,
1.147472695,/ɑ/,605.1192265,765.3190981,1089.413875,,
1.3444999,/o/,654.8212142,972.1381894,1230.817443,,
2.313141176,/a/,975.1516243,1451.066092,1581.359915,,
2.547203774,/ɑ/,686.678072,1107.699957,3036.89957,,
2.732448847,/o/,651.5612458,1169.581293,2910.930874,,
3.725472515,/a/,956.6533939,1042.399078,1439.490723,,
3.924210813,/ɑ/,603.5811353,1038.899254,2960.486292,,
4.073994031,/o/,650.1368356,1284.114821,2441.464977,,
0.917144111,/ɶ/,566.5614427,1816.5109,2246.456423,,
1.249996963,/i/,574.4002487,2807.26072,3184.668713,,
1.453144795,/ɯ/,531.5761388,1345.448631,2365.940195,,
1.499327574,/i/,389.1061782,2545.091873,3032.276967,,
1.853825866,/u/,797.8268117,1085.338432,1638.154259,,
1.956069651,/a/,823.6698567,921.1868368,1657.675694,,
2.151745722,/ø/,509.4149007,928.2468893,2296.1846,,
2.340422018,/ø/,500.5569381,719.8170197,2647.238648,,
2.504329998,/a/,767.3100374,1092.233732,1697.303111,,
3.491445503,/ɶ/,519.9860498,1724.254996,2957.553566,,
3.864324566,/i/,681.6253059,2839.822078,3239.14004,,
4.0740369,/ɯ/,500.1552557,1314.37349,1786.386146,,
4.134442039,/i/,346.1558282,2649.250654,3191.493234,,
4.487551602,/u/,855.1703499,1562.095848,1908.586762,,
4.611493513,/a/,831.4401528,1257.389859,1870.559214,,
4.844911493,/ø/,511.1422815,1179.260009,2311.288695,,
5.036968788,/ø/,528.1645755,1091.570771,2169.714556,,
5.195319502,/a/,873.7946278,1336.070116,1639.806216,,
6.117078345,/ɶ/,535.9001014,1723.092281,3106.430477,,
6.459306258,/i/,672.776866,2983.519931,3340.946294,,
6.696073715,/ɯ/,480.0906599,1807.452865,2357.536568,,
6.769104643,/i/,392.4247474,2716.933115,3182.387511,,
7.108237852,/u/,832.046109,1655.560237,2756.708098,,
7.212891404,/a/,904.8939218,1527.034615,2019.234453,,
